iter	Passed	Remaining
0	192	95956
1	293	73050
2	393	65229
3	527	65361
4	634	62778
5	743	61182
6	847	59665
7	950	58464
8	1046	57117
9	1150	56378
10	1251	55620
11	1354	55093
12	1472	55150
13	1573	54614
14	1682	54416
15	1793	54267
16	1905	54144
17	2013	53905
18	2059	52131
19	2107	50573
20	2217	50588
21	2318	50371
22	2418	50156
23	2528	50152
24	2544	48345
25	2640	48147
26	2763	48414
27	2861	48242
28	2956	48024
29	3053	47830
30	3092	46789
31	3193	46708
32	3291	46577
33	3394	46519
34	3496	46455
35	3520	45369
36	3612	45201
37	3703	45023
38	3804	44975
39	3909	44963
40	4013	44930
41	4109	44813
42	4206	44710
43	4303	44602
44	4400	44494
45	4445	43878
46	4549	43848
47	4653	43815
48	4682	43097
49	4787	43087
50	4902	43163
51	4950	42651
52	5051	42605
53	5162	42639
54	5183	41937
55	5270	41789
56	5286	41088
57	5320	40543
58	5410	40444
59	5513	40435
60	5614	40407
61	5635	39815
62	5717	39658
63	5817	39628
64	5914	39584
65	6013	39544
66	6117	39537
67	6217	39502
68	6318	39469
69	6422	39455
70	6536	39495
71	6631	39422
72	6737	39407
73	6837	39359
74	6939	39322
75	7041	39284
76	7138	39217
77	7239	39168
78	7332	39077
79	7432	39021
80	7522	38915
81	7616	38823
82	7716	38770
83	7817	38714
84	7922	38679
85	8029	38651
86	8054	38235
87	8155	38181
88	8177	37765
89	8281	37724
90	8378	37655
91	8483	37622
92	8498	37194
93	8596	37129
94	8740	37262
95	8836	37188
96	8943	37155
97	9057	37155
98	9157	37091
99	9263	37054
100	9385	37077
101	9413	36732
102	9526	36720
103	9639	36704
104	9672	36387
105	9756	36265
106	9854	36193
107	9956	36138
108	10037	36005
109	10184	36107
110	10297	36088
111	10340	35821
112	10437	35746
113	10541	35694
114	10581	35426
115	10673	35332
116	10792	35327
117	10889	35251
118	11000	35220
119	11115	35198
120	11223	35154
121	11332	35112
122	11365	34835
123	11471	34783
124	11580	34742
125	11672	34645
126	11781	34600
127	11873	34506
128	11970	34425
129	12077	34375
130	12185	34323
131	12288	34259
132	12403	34226
133	12499	34140
134	12593	34049
135	12692	33971
136	12787	33883
137	12895	33826
138	13002	33770
139	13110	33712
140	13218	33654
141	13332	33612
142	13407	33472
143	13517	33418
144	13620	33347
145	13727	33284
146	13831	33213
147	13938	33150
148	14039	33072
149	14139	32992
150	14244	32923
151	14354	32863
152	14462	32800
